label,name,notice,furigana
燃えるごみ,ボールペン,,
燃えるごみ,ポスター,,
燃えないごみ,ポット,,
大型ごみ,ホットカーペット,指定袋に入り、5kg以下のものは燃えないごみ,
燃えないごみ,ホットプレート,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
燃えないごみ,ほ乳瓶（ガラス製）,,
燃えるごみ,ほ乳瓶（プラ製）,,
燃えるごみ,ポリタンク,中身を抜く,
燃えるごみ,ポリバケツ,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
容器包装プラスチック,ポリ袋（スーパー等で配布されるもの）,,
燃えるごみ,保冷剤,,
燃えるごみ,本,できるだけ地域の資源（古紙など）集団回収へ,
大型ごみ,本棚,,
燃えないごみ,マウス（パソコン用）,パソコンとメーカーに回収を申込むこともできます,
燃えるごみ,まくら,,
燃えるごみ,マジックペン（プラ製）,,
燃えないごみ,マジックペン（プラ製以外）,,
大型ごみ,マッサージ機,大型のものは販売店等に相談,
燃えるごみ,マッチ,水に浸し、発火しないようにする,
燃えるごみ,マット（キッチン・バス等）,,
大型ごみ,マットレス,指定袋に入り、5kg以下のものは燃えるごみ,
燃えないごみ,魔法瓶,,
燃えるごみ,まな板,,
容器包装プラスチック,マヨネーズの容器(プラ製),中身を使い切って、汚れを取る　中身が簡単に取れない場合は燃えるごみ,
燃えないごみ,ミキサー,,
大型ごみ,ミシン,,
燃えないごみ,ミニコンポ,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
燃えないごみ,虫めがね,,
燃えるごみ,眼鏡（プラ製）,,
燃えないごみ,眼鏡（プラ製以外）,,
燃えるごみ,毛布,,
大型ごみ,餅つき機,,
大型ごみ,物干しざお・物干し台,,
燃えないごみ,やかん,,
容器包装プラスチック,ヨーグルトの容器（プラ製）,汚れを取る,
大型ごみ,よしず,,
燃えないごみ,ライター（金属製）,中身を使い切って水に浸す　一度に大量に出さない　１～２本まで,
燃えるごみ,ライター（プラ製　使い捨て含む）,中身を使い切って、水に浸す　一度に大量に出さない　１～２本まで,
燃えないごみ,ラジオ,,
燃えないごみ,ラジカセ,,
容器包装プラスチック,ラップ（商品を包んでいたもの）,汚れを取る　汚れが簡単に取れない場合は燃えるごみ,
燃えるごみ,ランドセル,金具部分は簡単にはずせる場合は燃えないごみへ,
燃えないごみ,リモコン,,
収集しない,冷蔵庫,販売店などへ,
収集しない,冷凍庫,販売店などへ,
燃えるごみ,レコード,,
燃えないごみ,レコードプレーヤー,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
容器包装プラスチック,レジ袋,,
燃えるごみ,レジャーシート,,
容器包装プラスチック,レトルト食品パック（カレーなど）,汚れを取る　中身が簡単に取れない場合は燃えるごみ,
大型ごみ,レンジ台,,
燃えるごみ,ろうそく,,
燃えないごみ,ローラースケート,,
大型ごみ,ロッカー,,
燃えないごみ,ワープロ,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
燃えるごみ,ワイシャツ,地域の資源（古紙など）集団回収で集めている場合はできるだけ資源集団回収へ,
収集しない,ワイン庫（ワインセラー）,販売店などへ,
燃えるごみ,割り箸,,
